review_text,rating,date,bank_name,source
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,Commercial Bank of Ethiopia,Google Play
what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia,Google Play
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play
good,4,2025-06-05,Commercial Bank of Ethiopia,Google Play
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia,Google Play
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
bezabih,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play
good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
good,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play
