review_text,rating,date,bank_name,source,sentiment
it's not working,3,2025-06-05,Bank of Abyssinia,Google Play,negative
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,Bank of Abyssinia,Google Play,negative
exceptional,5,2025-06-03,Bank of Abyssinia,Google Play,positive
BoA Mobile good bank,5,2025-06-02,Bank of Abyssinia,Google Play,positive
this is worest app 24/7 loading,1,2025-06-01,Bank of Abyssinia,Google Play,negative
This App is not interest for Android phone Please update it .,1,2025-06-01,Bank of Abyssinia,Google Play,negative
BoA system is confartable,5,2025-06-01,Bank of Abyssinia,Google Play,negative
very nice Abyssinia bank is choice all,5,2025-05-31,Bank of Abyssinia,Google Play,positive
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,Bank of Abyssinia,Google Play,negative
Good service.,3,2025-05-25,Bank of Abyssinia,Google Play,positive
the app crush frequently,1,2025-05-24,Bank of Abyssinia,Google Play,negative
good,5,2025-05-22,Bank of Abyssinia,Google Play,positive
You guys keeps getting worst,1,2025-05-22,Bank of Abyssinia,Google Play,negative
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,Bank of Abyssinia,Google Play,negative
BoA,2,2025-05-20,Bank of Abyssinia,Google Play,negative
but not opening on android,4,2025-05-19,Bank of Abyssinia,Google Play,negative
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,Bank of Abyssinia,Google Play,negative
amazing,5,2025-05-18,Bank of Abyssinia,Google Play,positive
excellent app,4,2025-05-16,Bank of Abyssinia,Google Play,positive
excellent,5,2025-05-15,Bank of Abyssinia,Google Play,positive
ሞላዬ ከበደ,5,2025-05-14,Bank of Abyssinia,Google Play,negative
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,Bank of Abyssinia,Google Play,negative
nice,5,2025-05-10,Bank of Abyssinia,Google Play,positive
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,Bank of Abyssinia,Google Play,negative
Best app,5,2025-05-09,Bank of Abyssinia,Google Play,positive
liking this application good 👍,5,2025-05-07,Bank of Abyssinia,Google Play,positive
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,Bank of Abyssinia,Google Play,negative
wow,5,2025-04-28,Bank of Abyssinia,Google Play,positive
it's really good 👍,5,2025-04-23,Bank of Abyssinia,Google Play,positive
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,Bank of Abyssinia,Google Play,negative
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,Bank of Abyssinia,Google Play,negative
Best,2,2025-04-19,Bank of Abyssinia,Google Play,positive
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of Abyssinia,Google Play,negative
yideg,1,2025-04-18,Bank of Abyssinia,Google Play,negative
አይከፍትም እኮ,1,2025-04-17,Bank of Abyssinia,Google Play,negative
great boa,5,2025-04-10,Bank of Abyssinia,Google Play,positive
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,Google Play,negative
faster bank of Abissinya,5,2025-04-08,Bank of Abyssinia,Google Play,positive
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,Google Play,negative
