bank_name,rating,sentiment_score
Bank of Abyssinia,1,-0.8267326732673267
Bank of Abyssinia,2,-0.803921568627451
Bank of Abyssinia,3,-0.5357142857142857
Bank of Abyssinia,4,0.02857142857142857
Bank of Abyssinia,5,0.4064516129032258
Commercial Bank of Ethiopia,1,-0.819672131147541
Commercial Bank of Ethiopia,2,-0.6923076923076923
Commercial Bank of Ethiopia,3,-0.7142857142857143
Commercial Bank of Ethiopia,4,-0.1746031746031746
Commercial Bank of Ethiopia,5,0.5951807228915663
Dashen Bank,1,-0.875
Dashen Bank,2,-0.7647058823529411
Dashen Bank,3,0.0
Dashen Bank,4,-0.3333333333333333
Dashen Bank,5,0.7687074829931972
